commit,version,date,bench,metric,unit,value,ci_low,ci_high,allocs,allocs_ci_low,allocs_ci_high,rustc,machine
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/100000,median,ns,16.682712597135883,16.674836438079993,16.6927732605072,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/1000,mean,ns,16.770078386650326,16.751889658750326,16.794789252726808,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/1000,median,ns,16.763667351765644,16.747801586861968,16.78019873206823,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/100,mean,ns,16.884270453012267,16.854660328966926,16.932403538502545,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/100,median,ns,16.85091815848181,16.838845043494118,16.868288083822215,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/10000,mean,ns,2.7924135721835572,2.780395205227502,2.7990149607710695,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/10000,median,ns,2.7965243857368502,2.7961526756215527,2.796994629185236,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/100000,mean,ns,1.8679190038025606,1.86572635261859,1.871767468792872,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/100000,median,ns,1.8654589963230825,1.865141434150655,1.8658767594594112,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/1000,mean,ns,1.9411615383440506,1.8946014888105527,1.9957953907223243,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/1000,median,ns,1.8639909002487214,1.8636928648136601,1.8647996652361805,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/100,mean,ns,1.8660406932270988,1.8646285038849362,1.8681591993683218,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_degree/100,median,ns,1.8642469946879352,1.8639529515765478,1.864658164831297,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication/10000,mean,ns,4179769.622500001,4177821.565708335,4181890.138708333,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication/10000,median,ns,4177848.333333333,4175636.9166666665,4180252.541666667,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication/100000,mean,ns,47007204.525,46933680.357625,47086892.96362501,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication/100000,median,ns,46905744.25,46831745.5,46994554.5,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication/1000,mean,ns,443547.43724804046,443185.25833399984,443962.52315520105,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication/1000,median,ns,443267.09052059054,442873.56165025785,443588.303652968,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes_with_labels/10000,mean,ns,1163035.2645809753,1160623.8836384157,1167122.7255338326,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes_with_labels/10000,median,ns,1161025.0637254901,1160442.31,1161908.06185567,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes_with_labels/1000,mean,ns,117724.0928095313,117512.67692527574,118093.26462413132,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes_with_labels/1000,median,ns,117487.039260385,117455.51225490196,117503.21280602636,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes_with_labels/100,mean,ns,12541.114382370835,12528.47990349401,12558.307404699422,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes_with_labels/100,median,ns,12527.143628246755,12524.511971830985,12532.513575487013,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/10000,mean,ns,6.225188890346918,6.215862788661575,6.242100885976637,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/10000,median,ns,6.213822853483027,6.212544666274463,6.215452318730262,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/1000,mean,ns,6.225348268455517,6.219101520719829,6.234651092271432,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/1000,median,ns,6.2179088745516395,6.21568401368123,6.21946479646585,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/1000000,mean,ns,19.323835863494754,19.287895826761442,19.382746494791643,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/1000000,median,ns,19.275239236114626,19.271467916373464,19.281686465808406,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/100,mean,ns,6.228997316493402,6.217865951383144,6.248343690769725,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_traversal/100,median,ns,6.216303307889602,6.214865015454709,6.217042622861067,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/10000,mean,ns,736479.9940159344,735727.7818344099,737486.9802676216,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/10000,median,ns,735313.1471774194,735113.0153846154,735649.5519480519,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/100000,mean,ns,9007773.566666665,8991326.294,9031414.385000002,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
